Country,CPI,CPI Change (%),Currency-Code,Gasoline Price,Minimum wage,Tax revenue (%),Total tax rate,Unemployment rate,
Saint Kitts and Nevis,104.57,-1.00%,XCD,,$3.33 ,18.50%,49.70%,,
Saint Lucia,110.13,1.90%,XCD,$1.30 ,,18.20%,34.70%,20.71%,
Saint Vincent and the Grenadines,109.67,2.30%,XCD,,$1.16 ,25.40%,37.00%,18.88%,
Samoa,117.56,1.00%,WST,$0.91 ,$0.78 ,25.50%,19.30%,8.36%,
San Marino,110.63,1.00%,EUR,,,18.10%,36.20%,,
S�����������,185.09,7.90%,STN,,,14.60%,37.00%,13.37%,
Saudi Arabia,118.4,-1.20%,SAR,$0.24 ,$3.85 ,8.90%,15.70%,5.93%,
Senegal,109.25,1.80%,XOF,$1.14 ,$0.31 ,16.30%,44.80%,6.60%,
Serbia,144,1.80%,RSD,$1.16 ,$1.57 ,18.60%,36.60%,12.69%,
Seychelles,129.96,1.80%,SCR,,$2.00 ,34.10%,30.10%,,
Sierra Leone,234.16,14.80%,SLL,$1.08 ,$0.57 ,8.60%,30.70%,4.43%,
Singapore,114.41,0.60%,SGD,$1.25 ,,13.10%,21.00%,4.11%,
Slovakia,115.34,2.70%,EUR,$1.32 ,$3.11 ,18.70%,49.70%,5.56%,
Slovenia,111.05,1.60%,EUR,$1.32 ,$5.25 ,18.60%,31.00%,4.20%,
Solomon Islands,133.06,1.60%,SBD,,$0.40 ,29.50%,32.00%,0.58%,
Somalia,,,SOS,$1.41 ,,0.00%,,11.35%,
South Africa,158.93,4.10%,ZAR,$0.92 ,,27.50%,29.20%,28.18%,
South Korea,115.16,0.40%,KRW,$1.22 ,$6.49 ,15.60%,33.20%,4.15%,
South Sudan,"4,583.71",187.90%,SSP,$0.28 ,,,31.40%,12.24%,
Spain,110.96,0.70%,EUR,$1.26 ,$5.60 ,14.20%,47.00%,13.96%,
Sri Lanka,155.53,3.50%,LKR,$0.88 ,$0.35 ,11.90%,55.20%,4.20%,
Sudan,"1,344.19",51.00%,SDG,$0.95 ,$0.41 ,8.00%,45.40%,16.53%,
Suriname,294.66,22.00%,SRD,$1.29 ,,19.50%,27.90%,7.33%,
Sweden,110.51,1.80%,SEK,$1.42 ,,27.90%,49.10%,6.48%,
Switzerland,99.55,0.40%,CHF,$1.45 ,,10.10%,28.80%,4.58%,
Syria,143.2,36.70%,SYP,$0.83 ,$1.02 ,14.20%,42.70%,8.37%,
Tajikistan,148.57,6.00%,TJS,$0.71 ,$0.23 ,9.80%,67.30%,11.02%,
Tanzania,187.43,3.50%,TZS,$0.87 ,$0.09 ,11.50%,43.80%,1.98%,
Thailand,113.27,0.70%,THB,$0.71 ,$1.06 ,14.90%,29.50%,0.75%,
East Timor,145.38,2.60%,USD,$1.10 ,$0.60 ,25.00%,17.30%,4.55%,
Togo,113.3,0.70%,XOF,$0.71 ,$0.34 ,16.90%,48.20%,2.04%,
Tonga,121.09,7.40%,TOP,,,22.30%,27.50%,1.12%,
Trinidad and Tobago,141.75,1.00%,TTD,$0.54 ,$2.25 ,19.50%,40.50%,2.69%,
Tunisia,155.33,6.70%,TND,$0.73 ,$0.47 ,21.10%,60.70%,16.02%,
Turkey,234.44,15.20%,TRY,$1.42 ,$3.45 ,17.90%,42.30%,13.49%,
Turkmenistan,,,TMT,$0.29 ,$0.88 ,,,3.91%,
Tuvalu,,,AUD,,,,,,
Uganda,173.87,2.90%,UGX,$0.94 ,$0.01 ,11.70%,33.70%,1.84%,
Ukraine,281.66,7.90%,UAH,$0.83 ,$0.84 ,20.10%,45.20%,8.88%,
United Arab Emirates,114.52,-1.90%,AED,$0.49 ,,0.10%,15.90%,2.35%,
United Kingdom,119.62,1.70%,GBP,$1.46 ,$10.13 ,25.50%,30.60%,3.85%,
United States,117.24,7.50%,USD,$0.71 ,$7.25 ,9.60%,36.60%,14.70%,
Uruguay,202.92,7.90%,UYU,$1.50 ,$1.66 ,20.10%,41.80%,8.73%,
Uzbekistan,,,UZS,$1.03 ,$0.24 ,14.80%,31.60%,5.92%,
Vanuatu,117.13,2.80%,VUV,$1.31 ,$1.56 ,17.80%,8.50%,4.39%,
Venezuela,"2,740.27",254.90%,VED,$0.00 ,$0.01 ,,73.30%,8.80%,
Vietnam,163.52,2.80%,VND,$0.80 ,$0.73 ,19.10%,37.60%,2.01%,
Yemen,157.58,8.10%,YER,$0.92 ,,,26.60%,12.91%,
Zambia,212.31,9.20%,ZMW,$1.40 ,$0.24 ,16.20%,15.60%,11.43%,
Zimbabwe,105.51,0.90%,,$1.34 ,,20.70%,31.60%,4.95%,
